"scenario","n","statistic","reference","mc","boot","rejections","rate","lower","upper","fit_calls","failed_fits","warning_count","summed_worker_seconds"
"linear_null",240,"marginal","fixed",500,199,1,0.002,5.06343340074153e-05,0.0110924768989688,1e+05,0,0,834.853
"linear_null",240,"marginal","refitted",500,199,32,0.064,0.0441842109467132,0.0891506275508634,1e+05,0,0,834.853
"linear_null",240,"conditional","fixed",500,199,11,0.022,0.0110322763612575,0.0390225508448088,1e+05,0,0,834.853
"linear_null",240,"conditional","refitted",500,199,26,0.052,0.0342456980827679,0.0752663710306222,1e+05,0,0,834.853
"periodic_misspecified",240,"marginal","fixed",500,199,1,0.002,5.06343340074153e-05,0.0110924768989688,1e+05,0,0,798.960999999999
"periodic_misspecified",240,"marginal","refitted",500,199,42,0.084,0.0612090586083477,0.111848301245412,1e+05,0,0,798.960999999999
"periodic_misspecified",240,"conditional","fixed",500,199,437,0.874,0.841686005700994,0.901803882215277,1e+05,0,0,798.960999999999
"periodic_misspecified",240,"conditional","refitted",500,199,462,0.924,0.897174417885006,0.945659218756088,1e+05,0,0,798.960999999999
"periodic_null",240,"marginal","fixed",500,199,0,0,0,0.00735061005190774,1e+05,0,0,909.275000000001
"periodic_null",240,"marginal","refitted",500,199,24,0.048,0.0309931687935054,0.0705807962573298,1e+05,0,0,909.275000000001
"periodic_null",240,"conditional","fixed",500,199,3,0.006,0.00123905754354075,0.0174336737259135,1e+05,0,0,909.275000000001
"periodic_null",240,"conditional","refitted",500,199,32,0.064,0.0441842109467132,0.0891506275508634,1e+05,0,0,909.275000000001
"spline_null",2087,"marginal","fixed",500,199,0,0,0,0.00735061005190774,1e+05,0,0,9928.58000000001
"spline_null",2087,"marginal","refitted",500,199,30,0.06,0.0408441817627769,0.0845485537076002,1e+05,0,0,9928.58000000001
"spline_null",2087,"conditional","fixed",500,199,1,0.002,5.06343340074153e-05,0.0110924768989688,1e+05,0,0,9928.58000000001
"spline_null",2087,"conditional","refitted",500,199,32,0.064,0.0441842109467132,0.0891506275508634,1e+05,0,0,9928.58000000001
