gene,dispersion_model,cells,detection_rate,fitted_size,fitted_size_min,fitted_size_max,mean_fitted_log_score,observed_stratified_ks,fixed_parameter_cutoff_95,refitted_cutoff_95,fixed_parameter_p,refitted_p,fixed_exceedances,refitted_exceedances,refitted_tail_mc_lower,refitted_tail_mc_upper,bootstrap_replicates,failed_fits,observed_seed,elapsed_seconds,holm_refitted_p
CXCL8,patient,24134,0.347932377558631,0.2548491916999559,0.061377007755791635,0.6386795536294455,-1.4612005717630845,5.4027406907126565,1.7208568224351892,3.2256381322595344,0.0001,0.0077,0,76,0.005993073609827086,0.009504375376319787,9999,0,20260822,182.8681328749517,0.0308
B2M,patient,24134,0.9933703488853899,5.390430528641653,1.6810576887273125,11.372625208047088,-3.517098427965567,3.2749317723328573,1.722892440295203,1.5666841730048227,0.0001,0.0023,0,22,0.0013793638974527306,0.003329275619157902,9999,0,20261831,287.21008799993433,0.0138
CD74,patient,24134,0.6646639595591282,0.33163997369560566,0.17547038041299481,0.4690743987589906,-2.310935650586953,14.00408449228854,1.7248538927454975,4.063797394162966,0.0001,0.0001,0,0,0.0,0.0003688567934951887,9999,0,20262840,212.4035759170074,0.001
HLA-A,patient,24134,0.8788845611999668,5.839625998401373,2.7276317162333688,6.923777406807255,-2.161266635585864,3.0099677836970047,1.7318718293110527,1.2874988882940492,0.0001,0.0003,0,2,2.4224268159040167e-05,0.0007223522740807954,9999,0,20263849,242.45921070803888,0.0026999999999999997
HLA-C,patient,24134,0.9234689649457197,5.528651583035253,3.0098352886579582,7.608466580960069,-2.4309990954880267,3.796281156545407,1.722221674382841,1.3119121953622555,0.0001,0.0003,0,2,2.4224268159040167e-05,0.0007223522740807954,9999,0,20264858,251.01350916700903,0.0026999999999999997
HLA-DQA1,patient,24134,0.026145686583243555,0.43125332880576733,0.06273229271789371,1000.0,-0.11828967331813223,1.1188844167290037,1.7329309461234033,1.7023952559599447,0.8256,0.8033,8255,8032,0.7953508553838621,0.8110327610990906,9999,0,20265867,99.24111462500878,0.8033
HLA-DQB1,patient,24134,0.24707880997762494,0.19611820818726325,0.0690749460297203,0.3438412217829515,-0.8643355782248154,4.894938412662838,1.7290174583668503,2.1843568223986938,0.0001,0.001,0,9,0.0004116584461220213,0.0017079604792524447,9999,0,20266876,132.92365983396303,0.007
HLA-DRB1,patient,24134,0.42123145769453885,0.289987253208484,0.12066716117619868,0.483941736322866,-1.5024068683954972,5.122162212796131,1.7279132082485558,3.1688649911464233,0.0001,0.0058,0,57,0.004320331092170499,0.007379521518958718,9999,0,20267885,176.91798745898996,0.028999999999999998
TAP1,patient,24134,0.09194497389574874,1.9688443592245177,0.3333841079360225,1000.0,-0.3257148290370884,1.4367546874153192,1.7283994586806273,1.637722624889891,0.2745,0.1868,2744,1867,0.17912266185146286,0.1944975903577323,9999,0,20268894,98.32562125008553,0.3873
TAP2,patient,24134,0.03720891688074915,1.5179151014362176,0.15501058666618328,1000.0,-0.15597488523137826,1.5468088428848308,1.729297004921195,1.6993714868920862,0.1522,0.1291,1521,1290,0.12250122762167003,0.13574147553797353,9999,0,20269903,93.5345424580155,0.3873
CXCL8,shared,24134,0.347932377558631,0.3622455539039129,0.3622455539039129,0.3622455539039129,-1.4952981204486355,8.768379446603621,1.7225553264404398,1.9050214663883656,0.0001,0.0001,0,0,0.0,0.0003688567934951887,9999,0,20260822,211.7571958330227,0.001
B2M,shared,24134,0.9933703488853899,6.849856415082302,6.849856415082302,6.849856415082302,-3.550673537788217,8.848947356407125,1.714888268939621,1.3400988967646512,0.0001,0.0001,0,0,0.0,0.0003688567934951887,9999,0,20261831,335.8540629160125,0.001
CD74,shared,24134,0.6646639595591282,0.31818144515339114,0.31818144515339114,0.31818144515339114,-2.3121794994615077,12.85486528671951,1.7213550845694354,2.260415917295522,0.0001,0.0001,0,0,0.0,0.0003688567934951887,9999,0,20262840,241.7374108749209,0.001
HLA-A,shared,24134,0.8788845611999668,3.727130997165973,3.727130997165973,3.727130997165973,-2.1676233588157547,3.5148185917839565,1.7213737177767336,1.3398294396988641,0.0001,0.0001,0,0,0.0,0.0003688567934951887,9999,0,20263849,281.21937458298635,0.001
