accession,sample,response,candidate_cells,retained_cells,retention_rate,median_umi_retained,median_genes_retained,median_mito_fraction_retained
GSM4314121,R1,Responder,2792,2789,0.9989255014326648,3349.0,1199.0,0.03580716143228646
GSM4314122,R2,Responder,1790,1772,0.9899441340782122,1990.0,811.5,0.028469863990013944
GSM4314123,R3,Responder,4517,4085,0.9043613017489485,961.0,527.0,0.016191210485736313
GSM4314124,R4,Responder,2371,2087,0.8802193167439899,924.0,443.0,0.009433962264150943
GSM4314125,R5,Responder,3901,3202,0.820815175596001,887.5,482.0,0.014348489040152866
GSM4314126,NR1,Nonresponder,3418,3295,0.9640140433001756,3144.0,1094.0,0.04842219804134929
GSM4314127,NR2,Nonresponder,1119,987,0.8820375335120644,2537.0,868.0,0.019583462853590302
GSM4314128,NR3,Nonresponder,1852,1590,0.8585313174946004,1125.5,572.0,0.021552566697564144
GSM4314129,NR4,Nonresponder,2710,2367,0.8734317343173432,1053.0,524.0,0.011829652996845425
GSM4314130,NR5,Nonresponder,2279,1960,0.8600263273365512,1112.5,505.0,0.009540467724122866
