gene,dispersion_model,cells,detection_rate,fitted_size,fitted_size_min,fitted_size_max,mean_fitted_log_score,observed_stratified_ks,fixed_parameter_cutoff_95,refitted_cutoff_95,fixed_parameter_p,refitted_p,fixed_exceedances,refitted_exceedances,refitted_tail_mc_lower,refitted_tail_mc_upper,bootstrap_replicates,failed_fits,observed_seed,elapsed_seconds,holm_refitted_p
CXCL8,shared,24134,0.347932377558631,0.3622455539039129,0.3622455539039129,0.3622455539039129,-1.4952981204486355,8.768379446603621,1.7225553264404398,1.9050214663883656,0.0001,0.0001,0,0,0.0,0.0003688567934951887,9999,0,20260822,211.7571958330227,0.001
B2M,shared,24134,0.9933703488853899,6.849856415082302,6.849856415082302,6.849856415082302,-3.550673537788217,8.848947356407125,1.714888268939621,1.3400988967646512,0.0001,0.0001,0,0,0.0,0.0003688567934951887,9999,0,20261831,335.8540629160125,0.001
CD74,shared,24134,0.6646639595591282,0.31818144515339114,0.31818144515339114,0.31818144515339114,-2.3121794994615077,12.85486528671951,1.7213550845694354,2.260415917295522,0.0001,0.0001,0,0,0.0,0.0003688567934951887,9999,0,20262840,241.7374108749209,0.001
HLA-A,shared,24134,0.8788845611999668,3.727130997165973,3.727130997165973,3.727130997165973,-2.1676233588157547,3.5148185917839565,1.7213737177767336,1.3398294396988641,0.0001,0.0001,0,0,0.0,0.0003688567934951887,9999,0,20263849,281.21937458298635,0.001
HLA-C,shared,24134,0.9234689649457197,4.364763334504851,4.364763334504851,4.364763334504851,-2.434124392691624,3.017468068302411,1.7111757350909498,1.3348687455094923,0.0001,0.0001,0,0,0.0,0.0003688567934951887,9999,0,20264858,293.94345962489024,0.001
HLA-DQA1,shared,24134,0.026145686583243555,0.14059316935213237,0.14059316935213237,0.14059316935213237,-0.11951558228878818,1.1396925537647646,1.7206589198746027,1.7085494651312205,0.7996,0.7785,7995,7784,0.7702077824593021,0.7865854102251728,9999,0,20265867,123.53215883299708,0.7785
HLA-DQB1,shared,24134,0.24707880997762494,0.23201919637626928,0.23201919637626928,0.23201919637626928,-0.8578950176496482,8.247737795682433,1.7225942664746727,1.790997691924918,0.0001,0.0001,0,0,0.0,0.0003688567934951887,9999,0,20266876,157.0179009999847,0.001
HLA-DRB1,shared,24134,0.42123145769453885,0.34422793274871466,0.34422793274871466,0.34422793274871466,-1.5044391496687963,8.778714975965913,1.728699166048593,1.8891605922139094,0.0001,0.0001,0,0,0.0,0.0003688567934951887,9999,0,20267885,193.821001958102,0.001
TAP1,shared,24134,0.09194497389574874,1.2289468181815786,1.2289468181815786,1.2289468181815786,-0.32599081424762033,1.5201596109149897,1.7225304833968922,1.6455560087114496,0.1824,0.1188,1823,1187,0.11243377395348947,0.1252129719459145,9999,0,20268894,104.31745804206003,0.3564
TAP2,shared,24134,0.03720891688074915,1.2628973323295283,1.2628973323295283,1.2628973323295283,-0.1562816881363025,1.5257602051690138,1.7174440129971587,1.7045812050289715,0.1636,0.147,1635,1469,0.14002922744320262,0.15400648091364466,9999,0,20269903,95.00165591703262,0.3564
