"cell","developmental_stage","study","ena_sample"
"E3.1.443","embryonic day 3","E-MTAB-3929","ERS887923"
"E3.1.444","embryonic day 3","E-MTAB-3929","ERS887924"
"E3.1.445","embryonic day 3","E-MTAB-3929","ERS887925"
"E3.1.447","embryonic day 3","E-MTAB-3929","ERS887926"
"E3.1.448","embryonic day 3","E-MTAB-3929","ERS887927"
"E3.2.449","embryonic day 3","E-MTAB-3929","ERS887928"
"E3.2.450","embryonic day 3","E-MTAB-3929","ERS887929"
"E3.2.452","embryonic day 3","E-MTAB-3929","ERS887930"
"E3.2.453","embryonic day 3","E-MTAB-3929","ERS887931"
"E3.2.454","embryonic day 3","E-MTAB-3929","ERS887932"
"E3.2.455","embryonic day 3","E-MTAB-3929","ERS887933"
"E3.2.467","embryonic day 3","E-MTAB-3929","ERS887935"
"E3.3.456","embryonic day 3","E-MTAB-3929","ERS887936"
"E3.3.457","embryonic day 3","E-MTAB-3929","ERS887937"
"E3.3.458","embryonic day 3","E-MTAB-3929","ERS887938"
"E3.3.459","embryonic day 3","E-MTAB-3929","ERS887939"
"E3.3.460","embryonic day 3","E-MTAB-3929","ERS887940"
"E3.4.462","embryonic day 3","E-MTAB-3929","ERS887941"
"E3.4.463","embryonic day 3","E-MTAB-3929","ERS887942"
"E3.4.465","embryonic day 3","E-MTAB-3929","ERS887943"
"E3.45.3374","embryonic day 3","E-MTAB-3929","ERS1079290"
"E3.45.3375","embryonic day 3","E-MTAB-3929","ERS1079291"
"E3.45.3376","embryonic day 3","E-MTAB-3929","ERS1079292"
"E3.45.3377","embryonic day 3","E-MTAB-3929","ERS1079293"
"E3.45.3378","embryonic day 3","E-MTAB-3929","ERS1079294"
"E3.45.3379","embryonic day 3","E-MTAB-3929","ERS1079295"
"E3.45.3380","embryonic day 3","E-MTAB-3929","ERS1079296"
"E3.45.3381","embryonic day 3","E-MTAB-3929","ERS1079297"
"E3.46.3382","embryonic day 3","E-MTAB-3929","ERS1079298"
"E3.46.3383","embryonic day 3","E-MTAB-3929","ERS1079299"
"E3.46.3385","embryonic day 3","E-MTAB-3929","ERS1079301"
"E3.46.3386","embryonic day 3","E-MTAB-3929","ERS1079302"
"E3.46.3387","embryonic day 3","E-MTAB-3929","ERS1079303"
"E3.46.3388","embryonic day 3","E-MTAB-3929","ERS1079304"
"E3.47.3389","embryonic day 3","E-MTAB-3929","ERS1079305"
"E3.47.3390","embryonic day 3","E-MTAB-3929","ERS1079306"
"E3.47.3391","embryonic day 3","E-MTAB-3929","ERS1079307"
"E3.47.3392","embryonic day 3","E-MTAB-3929","ERS1079308"
"E3.47.3393","embryonic day 3","E-MTAB-3929","ERS1079309"
"E3.47.3394","embryonic day 3","E-MTAB-3929","ERS1079310"
"E3.48.3396","embryonic day 3","E-MTAB-3929","ERS1079312"
"E3.48.3397","embryonic day 3","E-MTAB-3929","ERS1079313"
"E3.48.3398","embryonic day 3","E-MTAB-3929","ERS1079314"
"E3.48.3399","embryonic day 3","E-MTAB-3929","ERS1079315"
"E3.48.3400","embryonic day 3","E-MTAB-3929","ERS1079316"
"E3.48.3401","embryonic day 3","E-MTAB-3929","ERS1079317"
"E3.48.3402","embryonic day 3","E-MTAB-3929","ERS1079318"
"E3.49.3403","embryonic day 3","E-MTAB-3929","ERS1079319"
"E3.49.3405","embryonic day 3","E-MTAB-3929","ERS1079320"
"E3.49.3406","embryonic day 3","E-MTAB-3929","ERS1079321"
"E3.49.3407","embryonic day 3","E-MTAB-3929","ERS1079322"
"E3.49.3408","embryonic day 3","E-MTAB-3929","ERS1079323"
"E3.49.3409","embryonic day 3","E-MTAB-3929","ERS1079324"
"E3.49.3410","embryonic day 3","E-MTAB-3929","ERS1079325"
"E3.49.3411","embryonic day 3","E-MTAB-3929","ERS1079326"
"E3.50.3412","embryonic day 3","E-MTAB-3929","ERS1079327"
"E3.50.3413","embryonic day 3","E-MTAB-3929","ERS1079328"
"E3.50.3414","embryonic day 3","E-MTAB-3929","ERS1079329"
"E3.50.3415","embryonic day 3","E-MTAB-3929","ERS1079330"
"E3.50.3416","embryonic day 3","E-MTAB-3929","ERS1079331"
"E3.50.3417","embryonic day 3","E-MTAB-3929","ERS1079332"
"E3.51.3421","embryonic day 3","E-MTAB-3929","ERS1079334"
"E3.51.3422","embryonic day 3","E-MTAB-3929","ERS1079335"
"E3.51.3423","embryonic day 3","E-MTAB-3929","ERS1079336"
"E3.51.3426","embryonic day 3","E-MTAB-3929","ERS1079338"
"E3.52.3428","embryonic day 3","E-MTAB-3929","ERS1079339"
"E3.52.3429","embryonic day 3","E-MTAB-3929","ERS1079340"
"E3.52.3430","embryonic day 3","E-MTAB-3929","ERS1079341"
"E3.52.3431","embryonic day 3","E-MTAB-3929","ERS1079342"
"E3.52.3432","embryonic day 3","E-MTAB-3929","ERS1079343"
"E3.52.3433","embryonic day 3","E-MTAB-3929","ERS1079344"
"E3.52.3434","embryonic day 3","E-MTAB-3929","ERS1079345"
"E3.53.3436","embryonic day 3","E-MTAB-3929","ERS1079347"
