"gene","cells","observed_ks_D","naive_uniform_p","refitted_bootstrap_p","exceedances","tail_mc_lower","tail_mc_upper","bootstrap_q95","bootstrap_replicates","failed_fits","elapsed_seconds","observed_seed","holm_refitted_p"
"Pyy",2087,0.0299583200515378,0.0472154125772928,0.0025,4,0.000545465988597203,0.00511536229400075,0.0224822469344695,1999,0,201.982,20260815,0.016
"Iapp",2087,0.0331687800226529,0.0202630761372015,0.002,3,0.00030959780171603,0.00437950670007393,0.0238512948413043,1999,0,215.999,20261824,0.016
"Chgb",2087,0.0205845596553385,0.339451730618371,0.1225,244,0.108022742149449,0.137217990884579,0.0235400637699918,1999,0,228.303,20262833,0.3675
"Rbp4",2087,0.043903388232932,0.000641135895849084,5e-04,0,0,0.00184366077392381,0.023150513165226,1999,0,198.365,20263842,0.005
"Spp1",2087,0.0241186951931472,0.176293866618073,0.0715,142,0.0601600344776482,0.083188387691309,0.0250197969712472,1999,0,229.361,20264851,0.3075
"Chga",2087,0.0326028768727034,0.0236687970755206,0.002,3,0.00030959780171603,0.00437950670007393,0.0228916113058595,1999,0,236.595,20265860,0.016
"Cck",2087,0.01668234465037,0.606820745746131,0.2885,576,0.268362774048328,0.308548588831935,0.0217395441767576,1999,0,245.283,20266869,0.3675
"Ins1",2087,0.0223543004205744,0.247937117407511,0.152,303,0.136125004323539,0.16805589077242,0.0263194950335676,1999,0,246.508,20267878,0.3675
"Nnat",2087,0.0432404394140118,0.000815973061102447,5e-04,0,0,0.00184366077392381,0.0233190722049229,1999,0,200.875,20268887,0.005
"Ins2",2087,0.0263385297930971,0.11051531080419,0.0615,122,0.0509365916909741,0.072434275936065,0.0271553231224566,1999,0,191.045,20269896,0.3075
