gene,marginal,cells,mean_count,zero_fraction,negative_log_likelihood,mu,k1,k2,t0,phi,transform,t0_lower,t0_upper,ks_D,ks_p_naive,max_pseudotime_quartile_ks
Gene1,Poisson,500,5.518,0.126,1630.906468610786,2.296601933298928,6.515831795417526,5.115000919834714,0.4788875270928955,,0,0.422,0.536,0.1999435070908356,5.379345071479458e-18,0.18399999999999997
Gene1,NB,500,5.518,0.126,1309.345776073666,2.316749900185737,5.781626052989329,5.794247753184496,0.4999449101221146,1.9345965120807842,0,0.459,0.541,0.028832104028140515,0.7889513007053651,0.136
Gene2,Poisson,500,21.81,0.03,3393.549854662867,3.9369357580429503,6.351959231810612,4.8646575368817135,0.45629762604798835,,0,0.418,0.495,0.2760632664550806,3.5643577964233084e-34,0.24800000000000003
Gene2,NB,500,21.81,0.03,1805.8431087161102,3.9687001932809114,5.631302770918735,5.654599962238131,0.47635711399242436,2.2632162850191553,0,0.457,0.496,0.03726687203725643,0.47961957348820217,0.12000000000000005
Gene3,Poisson,500,22.504,0.026,3223.5957474728457,3.7846786490713997,3.7353478636367443,3.6260604749953305,0.47872786614234913,,0,0.425,0.532,0.2899713580505599,1.0002628975335338e-37,0.24
Gene3,NB,500,22.504,0.026,1886.7441631244026,3.8883170845706676,3.650717418129491,4.8410764429216515,0.5100306027870164,2.1338894048577948,0,0.485,0.535,0.045085525081046574,0.2536813154624499,0.19200000000000006
Gene4,Poisson,500,23.078,0.034,3417.564794449985,3.913731460422653,6.16142129091814,3.145042432522257,0.5517010155592127,,0,0.508,0.595,0.2800727922609025,3.5261242108779386e-35,0.32
Gene4,NB,500,23.078,0.034,1822.9856150248029,3.9440885990005423,6.065232208633998,3.11841599930208,0.5667948398955556,2.5484795644809037,0,0.546,0.587,0.0347042431025788,0.5714834592519993,0.18399999999999994
Gene5,Poisson,500,44.868,0.016,6468.389047162881,4.6354664578004385,4.994579170823287,3.5535067322778264,0.4246892217771522,,0,0.384,0.466,0.35723692508151744,1.278492149894743e-57,0.35200000000000004
Gene5,NB,500,44.868,0.016,2162.4458717326183,4.773455159461406,4.592588508929022,4.801649603907397,0.45361839969630136,1.9802459351547252,0,0.433,0.474,0.02503769680427298,0.9046392045681405,0.12799999999999997
Gene6,Poisson,500,17.58,0.076,2644.868690882428,3.8550756335091614,6.696732190558936,8.204735120313112,0.5624578611631227,,0,0.53,0.595,0.2823506776993898,9.323474925688803e-36,0.28
Gene6,NB,500,17.58,0.076,1628.714948113258,3.838565697594801,6.2393328266580035,8.0944306530557,0.5741990740993131,2.4916828972391305,0,0.557,0.591,0.06059518215362569,0.048779609428485804,0.168
Gene7,Poisson,500,4.4,0.136,1419.6002357455131,1.9933959757822461,5.023268390968557,5.150491166184465,0.4117106537656262,,0,0.341,0.483,0.16853222308092466,6.966357898805809e-13,0.192
Gene7,NB,500,4.4,0.136,1217.0557084771744,2.004066789315361,5.5375664255427,5.009723050491549,0.39930425757931887,2.178603624351923,0,0.351,0.448,0.033369054998043435,0.6213378338717006,0.16799999999999998
Gene8,Poisson,500,7.304,0.11,1710.4915647754071,2.690504970604495,5.053608649249723,7.094549496205498,0.4313987407096625,,0,0.382,0.481,0.19949548815290957,6.456110829964946e-18,0.256
Gene8,NB,500,7.304,0.11,1362.29125856749,2.7148046631209186,5.667973554120266,6.707498591262035,0.41399648486455876,2.503246943840098,0,0.386,0.442,0.0189025189190416,0.9926611006654772,0.17599999999999993
Gene9,Poisson,500,24.05,0.026,4021.941325035859,4.060098757942451,5.067939781375032,6.238031798167024,0.5683805470626783,,0,0.531,0.606,0.2865733144230271,7.678685777507938e-37,0.36
Gene9,NB,500,24.05,0.026,1863.6920311176045,4.132790612834359,4.814153462402094,6.756059932234941,0.561680878394324,2.1604706168704206,0,0.542,0.581,0.036036884276439696,0.5229137167758791,0.168
Gene10,Poisson,500,18.462,0.012,2795.0265929217226,3.564586121192426,2.7901341139869174,5.282037285865958,0.6430329901620359,,0,0.585,0.701,0.2440764284674868,1.0345026493999267e-26,0.312
Gene10,NB,500,18.462,0.012,1791.3412020232477,3.6357182364821803,2.9580970653136958,4.657964259397857,0.6159439191704468,3.051995772401828,0,0.593,0.639,0.04055461163365898,0.3734164810805266,0.20000000000000007
